id_game,time_to_beat
6519,15720
5082,234000
14872,900
13138,10800
5614,22200
2,29040
9547,25200
8288,54000
1906,10800
7418,6300
307,4813200
21863,83400
19562,59820
3568,288000
7886,88200
2001,28440
2591,21600
1352,14400
1352,13740
7418,10860
530,63120
912,54000
233,47460
1853,72000
2231,41940
7731,11460
128,46800
3097,31500
1039,198000
2344,36000
1882,10800
1864,259200
7442,180000
5025,16200
2355,32400
28125,95400
1397,16680
116,126000
3022,18000
2602,14400
5969,18000
7635,25200
2155,216000
9192,21600
1983,21600
1871,48600
472,540000
3218,21180
67,119820
9580,129600
7444,26400
127,126000
7618,9840
132,100440
7513,41100
1051,10800
10137,7200
12374,78180
2993,46500
478,115200
534,252000
8372,32400
9630,396000
1871,52200
1802,139500
9597,72000
12517,21600
111,25200
14177,234000
7331,65940
3750,43200
13212,6180
2552,118800
1886,61200
1942,288000
1976,25200
393,144000
74,144000
207,36000
1062,36000
1342,43200
1981,126000
11701,43200
114420,9000
11208,134940
2061,72000
6778,16800
2001,21600
11133,107700
14587,18060
1887,352800
533,50400
1887,343200
1334,9600
7334,162000
115,540000
731,108000
2042,28800
6574,302400
3041,93600
826,25200
7859,51720
534,123240
403,19200
6632,21600
1108,36000
1104,21600
6032,108000
1906,10800
212,90000
500,39600
2638,43200
890,54660
71,18000
233,43200
343,28800
40,36000
71,14400
71,19080
9192,18000
10795,13380
14593,73800
1009,72000
7444,32400
231,72000
6744,72000
37140,46800
7323,92280
2031,34080
7838,38880
2003,18600
2207,29220
6057,50400
1377,18000
5508,38760
324,111600
3035,7200
2136,33840
16,180000
1121,135000
31913,13800
9504,5460
1318,93600
352,23400
1363,10800
7346,307800
66,25200
122,108000
2289,48180
71,46800
1,144000
16477,25200
7349,169200
11208,144000
117,50400
130,90660
2205,24000
533,72000
500,61200
97269,7200
3247,52980
233,39600
1029,54000
6185,54600
558,64800
8293,67740
246,75600
7725,32220
1062,32400
7618,12600
1226,43860
1063,1920
24220,145680
5060,25200
501,90000
376,36900
7599,72000
11204,14400
40463,21600
2207,28680
529,61200
2228,50580
11527,154800
11092,25200
9727,36000
14748,158400
1339,46800
2064,31980
12517,36000
431,28800
9559,12600
14593,97200
2909,59520
539,43200
1515,49800
533,36000
3029,324000
2168,25260
14719,43200
7081,29700
7444,18000
3101,144000
4851,19800
6801,72000
1128,41760
6057,57600
472,360000
15,180000
316,72000
59,360000
1976,14400
1174,90000
2064,23940
7275,63780
14647,20760
23158,15720
8902,96480
72,14400
2151,33720
4,103740
7543,21600
6279,22320
8114,7200
1990,14400
1443,76080
431,34200
6898,120000
14417,108000
2129,43200
9498,109800
1117,1800
11171,183480
1267,43200
955,36000
59573,39600
122,28800
2993,43200
6247,36000
76,396000
472,1274400
1062,50400
18812,216000
538,36000
2904,10320
1037,72000
9505,8820
19531,105300
1367,14100
1051,10800
7346,477000
41812,18000
1363,14400
1887,276660
6036,338400
501,54960
7334,108000
537,38700
379,40560
7120,61800
72,46800
6737,42420
247,21060
231,43080
7618,14400
74,133200
12503,54000
6743,97200
27194,21600
2290,63780
12503,46800
1564,540
7603,21600
2595,252000
1906,12000
1910,28800
2175,36000
1009,129720
16,216000
281,54000
129,56640
17728,9000
387,72000
2868,108000
1970,127500
7603,33000
1985,277200
538,54600
54678,10800
83577,20700
37,46800
3075,76020
189,54000
1377,27000
22783,19800
530,56700
127,104400
1942,90000
565,40440
873,137160
1561,144000
7334,90960
26840,121620
11070,17700
72049,15960
512,43200
1318,126000
7653,14400
3750,29940
1372,108000
1944,36000
1906,10800
18828,14400
2346,25200
3173,66600
2001,18000
1121,103980
7211,12300
2368,97200
247,21600
231,54000
7334,172800
732,54000
533,118800
2904,21600
247,14400
232,12600
3043,720000
517,28800
12597,32400
3082,10440
22023,7200
80,147600
2059,72000
11061,21600
3078,44400
6574,79200
3042,111600
1942,432000
539,43740
2136,72000
14587,19800
431,28920
26193,32880
1266,46800
427,154800
2031,31980
1103,36000
1306,14400
1062,57600
7661,29100
500,54000
38,45000
2135,50400
379,59100
12524,54000
7789,126000
1267,54000
500,90000
2003,86400
1333,120
7116,13200
522,90000
1334,10800
1269,126000
1517,108000
2438,46800
3192,2700
1104,7200
359,200280
7344,36000
376,34200
2354,15300
418,180000
105,64800
114781,900
128,72000
8353,148800
3022,20700
14763,43200
6632,21600
7331,58200
1030,101760
233,72000
3042,162000
2033,36360
2939,14400
1377,28800
1942,144000
14872,3600
113673,25200
75848,126000
1942,180000
2291,11400
2935,33300
6744,28800
7444,28800
495,50400
7404,21600
7116,13200
1983,28800
17131,7200
1979,216000
3812,28860
1906,10800
3025,82800
12517,40440
9553,216000
5328,3600
111,32400
64,46020
3097,37800
14360,8220
9427,2940
1770,37800
12070,21600
8506,14400
11161,72000
505,57600
3035,7200
3131,12600
11765,600
25076,370800
1112,75600
1074,36000
533,48360
2448,21600
1062,43200
536,72000
3195,32400
421,180000
2621,7200
118,169200
65,28800
6247,19800
1342,36000
3230,50520
8975,140400
7344,28800
8259,11160
14748,201600
14593,198000
86457,20580
1183,327600
11397,257460
12840,120
11092,24360
90083,23220
19456,46800
425,216000
512,72000
1377,25200
11800,360000
431,24300
565,34200
10479,27360
1029,67680
2640,18000
731,119820
26193,31800
2480,94260
232,18000
8587,14400
40,74820
7334,144000
7386,72000
5772,28800
4758,14400
11545,42000
3082,4800
3097,32400
39,86400
6036,52560
1985,360000
1377,25200
9533,28800
4598,1800
43,183600
68450,7980
118,90000
9260,58920
322,28800
6066,21600
1331,12600
2368,421200
1029,72000
2499,43020
2939,14400
2853,18000
6036,95400
2136,40020
18011,8880
396,13740
1318,90000
544,25200
9630,216000
5062,61200
1983,46800
1020,93480
427,270000
1677,90000
13171,47880
17847,13980
2368,288000
529,72000
36950,54000
1267,50400
18038,107100
836,43200
7610,39600
7331,64800
2549,36000
22439,432000
2301,3600
2903,1080000
12482,9180
32476,36000
30206,119460
21,25200
2985,425160
20,54000
7327,25200
20907,3720
1561,172800
231,72000
55688,43200
7349,126000
5892,39600
1906,8340
117996,600
478,82800
6705,20640
8187,90000
80853,36000
538,57600
5619,288000
9435,21600
7344,26700
2473,2700
6032,108000
2369,14400
429,32700
3150,59700
1266,100800
21874,288000
1942,234000
5601,55440
14702,6120
7170,18000
1341,43200
2853,19800
71,12600
520,58800
23354,14400
15925,6300
431,72000
10049,37800
1372,46380
9192,21600
7331,72000
232,36000
10089,8160
231,43200
3109,18000
472,576000
7789,180000
4754,64800
2963,7200000
2899,72000
121,72000
1331,11700
113,72420
2172,36000
11133,216000
18013,10800
3020,45000
5025,11700
8635,16800
19562,37500
7543,28320
14390,28800
26193,31500
19561,57600
11393,90000
11059,54000
7635,37440
6,720000
500,46800
558,64800
343,25200
7482,86400
836,25200
370,172800
62466,1140
1029,180000
18689,13800
960,43200
7609,28800
1352,14400
2599,46800
4754,64800
9730,19800
1979,28800
519,14400
1384,21600
2686,72000
2345,54000
5638,18000
2997,362340
74,103260
1871,63000
519,18000
3153,21600
2364,234000
5623,36000
9053,10800
28540,241200
559,24480
2249,54600
72,14400
1819,288000
3140,162000
375,37920
148,36000
1051,21600
979,90000
1638,32400
1156,68400
11078,36900
5082,306000
71,9000
1517,271620
3349,54000
56,216000
7690,10800
10939,76260
501,115200
9638,18000
118,90000
1887,252000
2552,144000
3082,5400
109,108000
5540,47460
501,108000
65,23400
7047,349200
7650,43620
4847,57600
5328,7200
2525,25200
21599,6300
1384,21600
472,216000
